,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre,docente_nome
205951,38285,0.8635571299441901,0.875,0.0,0.13999999999999999,0.2,0.23529411764705882,0.0,0.0,0.0,2014.1,ANDRE
205952,38285,0.8635571299441901,0.875,0.5,0.45,0.2,0.23529411764705882,0.0,0.0,0.0,2014.1,ANDRE
205953,38285,0.8635571299441901,0.875,1.0,0.0,0.2,0.23529411764705882,0.0,0.0,0.0,2014.1,ANDRE
205957,38285,0.7961635075773579,0.875,0.0,0.43,0.5,0.08823529411764706,1.0,0.0,0.0,2014.1,ANDRE
205958,38285,0.7961635075773579,0.875,0.5,0.6,0.5,0.08823529411764706,1.0,0.0,0.0,2014.1,ANDRE
205959,38285,0.7961635075773579,0.875,1.0,0.48,0.5,0.08823529411764706,1.0,0.0,0.0,2014.1,ANDRE
205960,38285,0.5992495022438894,0.875,0.0,0.06999999999999999,0.06999999999999999,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205961,38285,0.5992495022438894,0.875,0.5,0.15,0.06999999999999999,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205962,38285,0.5992495022438894,0.875,1.0,0.0,0.06999999999999999,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205966,38285,0.011084890308219372,0.875,0.0,0.29,0.15,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205967,38285,0.011084890308219372,0.875,0.5,0.15,0.15,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205968,38285,0.011084890308219372,0.875,1.0,0.0,0.15,0.08823529411764706,0.0,0.0,0.0,2014.1,ANDRE
205972,38285,0.55089798175351,0.875,0.0,0.49000000000000005,0.7,0.0,1.0,0.0,0.0,2014.1,ANDRE
205973,38285,0.55089798175351,0.875,0.5,0.9,0.7,0.0,1.0,0.0,0.0,2014.1,ANDRE
205974,38285,0.55089798175351,0.875,1.0,0.7,0.7,0.0,1.0,0.0,0.0,2014.1,ANDRE
205981,38285,0.8078672438940891,0.875,0.0,0.43,0.13999999999999999,0.17647058823529413,0.0,0.0,0.0,2014.1,ANDRE
205982,38285,0.8078672438940891,0.875,0.5,0.0,0.13999999999999999,0.17647058823529413,0.0,0.0,0.0,2014.1,ANDRE
205983,38285,0.8078672438940891,0.875,1.0,0.0,0.13999999999999999,0.17647058823529413,0.0,0.0,0.0,2014.1,ANDRE
205984,38285,0.6742598751490532,0.875,0.0,0.5,0.5599999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
205985,38285,0.6742598751490532,0.875,0.5,0.75,0.5599999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
205986,38285,0.6742598751490532,0.875,1.0,0.42000000000000004,0.5599999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
205987,38285,0.05028148126348711,0.875,1.0,0.5700000000000001,0.51,0.029411764705882353,1.0,0.0,0.0,2014.1,ANDRE
205988,38285,0.05028148126348711,0.875,0.5,0.45,0.51,0.029411764705882353,1.0,0.0,0.0,2014.1,ANDRE
205989,38285,0.05028148126348711,0.875,0.0,0.5,0.51,0.029411764705882353,1.0,0.0,0.0,2014.1,ANDRE
205990,38285,0.3936135360553603,0.875,0.0,0.5700000000000001,0.67,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
205991,38285,0.3936135360553603,0.875,0.5,0.8300000000000001,0.67,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
205992,38285,0.3936135360553603,0.875,1.0,0.62,0.67,0.14705882352941177,1.0,0.0,0.0,2014.1,ANDRE
278934,38286,0.36690900617154026,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,2014.1,JOAO
278935,38286,0.36690900617154026,0.0,0.5,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,2014.1,JOAO
278936,38286,0.36690900617154026,0.0,1.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,2014.1,JOAO
278946,38286,0.13169846752041267,0.0,0.0,0.35,0.6799999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278947,38286,0.13169846752041267,0.0,0.5,1.0,0.6799999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278948,38286,0.13169846752041267,0.0,1.0,0.7,0.6799999999999999,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278949,38286,0.8861624853723343,0.0,0.0,0.55,0.75,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278950,38286,0.8861624853723343,0.0,0.5,0.8,0.75,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278951,38286,0.8861624853723343,0.0,1.0,0.9,0.75,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278955,38286,0.378529496629079,0.0,0.0,0.31,0.22000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278956,38286,0.378529496629079,0.0,0.5,0.25,0.22000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278957,38286,0.378529496629079,0.0,1.0,0.1,0.22000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278958,38286,0.49526888873604036,0.0,1.0,0.25,0.38,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278959,38286,0.49526888873604036,0.0,0.0,0.48,0.38,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278960,38286,0.49526888873604036,0.0,0.5,0.4,0.38,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278961,38286,0.8007464201624298,0.0,0.5,0.7,0.73,0.23529411764705882,1.0,0.0,0.0,2014.1,JOAO
278962,38286,0.8007464201624298,0.0,1.0,0.7,0.73,0.23529411764705882,1.0,0.0,0.0,2014.1,JOAO
278963,38286,0.8007464201624298,0.0,0.0,0.8,0.73,0.23529411764705882,1.0,0.0,0.0,2014.1,JOAO
278964,38286,0.7719329584259254,0.0,0.0,0.45999999999999996,0.6,0.17647058823529413,1.0,0.0,0.0,2014.1,JOAO
278965,38286,0.7719329584259254,0.0,0.5,0.9,0.6,0.17647058823529413,1.0,0.0,0.0,2014.1,JOAO
278966,38286,0.7719329584259254,0.0,1.0,0.45,0.6,0.17647058823529413,1.0,0.0,0.0,2014.1,JOAO
278967,38286,0.5471805755144589,0.0,0.5,0.18,0.31,0.11764705882352941,0.0,0.0,0.0,2014.1,JOAO
278968,38286,0.5471805755144589,0.0,1.0,0.1,0.31,0.11764705882352941,0.0,0.0,0.0,2014.1,JOAO
278969,38286,0.5471805755144589,0.0,0.0,0.65,0.31,0.11764705882352941,0.0,0.0,0.0,2014.1,JOAO
278976,38286,0.47286779388810407,0.0,1.0,0.1,0.32999999999999996,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
278977,38286,0.47286779388810407,0.0,0.0,0.55,0.32999999999999996,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
278978,38286,0.47286779388810407,0.0,0.5,0.32999999999999996,0.32999999999999996,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
278979,38286,0.025054758334313806,0.0,0.0,0.65,0.73,0.11764705882352941,1.0,0.0,0.0,2014.1,JOAO
278980,38286,0.025054758334313806,0.0,0.5,0.7,0.73,0.11764705882352941,1.0,0.0,0.0,2014.1,JOAO
278981,38286,0.025054758334313806,0.0,1.0,0.8300000000000001,0.73,0.11764705882352941,1.0,0.0,0.0,2014.1,JOAO
278982,38286,0.9164351001749897,0.0,0.0,0.2,0.16,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278983,38286,0.9164351001749897,0.0,0.5,0.18,0.16,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278984,38286,0.9164351001749897,0.0,1.0,0.1,0.16,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
278991,38286,0.11880197491053,0.0,1.0,0.1,0.13999999999999999,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278992,38286,0.11880197491053,0.0,0.0,0.16,0.13999999999999999,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278993,38286,0.11880197491053,0.0,0.5,0.15,0.13999999999999999,0.2647058823529412,0.0,0.0,0.0,2014.1,JOAO
278994,38286,0.616961705160668,0.0,1.0,1.0,0.93,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278995,38286,0.616961705160668,0.0,0.0,0.95,0.93,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
278996,38286,0.616961705160668,0.0,0.5,0.8300000000000001,0.93,0.14705882352941177,1.0,0.0,0.0,2014.1,JOAO
279000,38286,0.29077845773980104,0.0,0.0,0.75,0.73,0.058823529411764705,1.0,0.0,0.0,2014.1,JOAO
279001,38286,0.29077845773980104,0.0,0.5,0.9,0.73,0.058823529411764705,1.0,0.0,0.0,2014.1,JOAO
279002,38286,0.29077845773980104,0.0,1.0,0.55,0.73,0.058823529411764705,1.0,0.0,0.0,2014.1,JOAO
279003,38286,0.7923401420393874,0.0,0.0,0.15,0.05,0.20588235294117646,0.0,0.0,0.0,2014.1,JOAO
279004,38286,0.7923401420393874,0.0,0.5,0.0,0.05,0.20588235294117646,0.0,0.0,0.0,2014.1,JOAO
279005,38286,0.7923401420393874,0.0,1.0,0.0,0.05,0.20588235294117646,0.0,0.0,0.0,2014.1,JOAO
279006,38286,0.29606049521192473,0.0,0.0,0.55,0.47000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
279007,38286,0.29606049521192473,0.0,0.5,0.42000000000000004,0.47000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
279008,38286,0.29606049521192473,0.0,1.0,0.45,0.47000000000000003,0.14705882352941177,0.0,0.0,0.0,2014.1,JOAO
279012,38286,0.831006214802062,0.0,0.5,0.38,0.5599999999999999,0.0,1.0,0.0,0.0,2014.1,JOAO
279013,38286,0.831006214802062,0.0,1.0,0.35,0.5599999999999999,0.0,1.0,0.0,0.0,2014.1,JOAO
279014,38286,0.831006214802062,0.0,0.0,0.7,0.5599999999999999,0.0,1.0,0.0,0.0,2014.1,JOAO
279015,38286,0.7264338791020738,0.0,0.0,0.3,0.18,0.17647058823529413,0.0,0.0,0.0,2014.1,JOAO
279016,38286,0.7264338791020738,0.0,0.5,0.25,0.18,0.17647058823529413,0.0,0.0,0.0,2014.1,JOAO
279017,38286,0.7264338791020738,0.0,1.0,0.0,0.18,0.17647058823529413,0.0,0.0,0.0,2014.1,JOAO
279018,38286,0.9413065071238308,0.0,0.5,0.45,0.38,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
279019,38286,0.9413065071238308,0.0,0.0,0.35,0.38,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
279020,38286,0.9413065071238308,0.0,1.0,0.15,0.38,0.029411764705882353,0.0,0.0,0.0,2014.1,JOAO
328760,48772,0.4342848867959558,0.25,0.0,1.0,0.45999999999999996,0.0,0.0,0.0,0.0,2014.2,GUSTAVO
328761,48772,0.4342848867959558,0.25,0.5,0.39,0.45999999999999996,0.0,0.0,0.0,0.0,2014.2,GUSTAVO
328762,48772,0.4342848867959558,0.25,1.0,0.0,0.45999999999999996,0.0,0.0,0.0,0.0,2014.2,GUSTAVO
328766,48772,0.49526888873604036,0.25,0.0,0.9,0.8099999999999999,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328767,48772,0.49526888873604036,0.25,0.5,0.75,0.8099999999999999,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328768,48772,0.49526888873604036,0.25,1.0,0.78,0.8099999999999999,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328772,48772,0.41090106981904884,0.25,0.0,0.64,0.6,0.23529411764705882,1.0,0.0,0.0,2014.2,GUSTAVO
328773,48772,0.41090106981904884,0.25,0.5,0.65,0.6,0.23529411764705882,1.0,0.0,0.0,2014.2,GUSTAVO
328774,48772,0.41090106981904884,0.25,1.0,0.5,0.6,0.23529411764705882,1.0,0.0,0.0,2014.2,GUSTAVO
328775,48772,0.10577878420790868,0.25,0.0,0.85,0.8400000000000001,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328776,48772,0.10577878420790868,0.25,0.5,0.85,0.8400000000000001,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328777,48772,0.10577878420790868,0.25,1.0,0.8099999999999999,0.8400000000000001,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328781,48772,0.5471805755144589,0.25,0.0,0.8300000000000001,0.78,0.058823529411764705,1.0,0.0,0.0,2014.2,GUSTAVO
328782,48772,0.5471805755144589,0.25,0.5,0.8,0.78,0.058823529411764705,1.0,0.0,0.0,2014.2,GUSTAVO
328783,48772,0.5471805755144589,0.25,1.0,0.71,0.78,0.058823529411764705,1.0,0.0,0.0,2014.2,GUSTAVO
328784,48772,0.0912696173302623,0.25,0.0,0.8099999999999999,0.79,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328785,48772,0.0912696173302623,0.25,0.5,0.75,0.79,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328786,48772,0.0912696173302623,0.25,1.0,0.8099999999999999,0.79,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328787,48772,0.580968140220949,0.25,0.0,0.95,0.95,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328788,48772,0.580968140220949,0.25,0.5,1.0,0.95,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328789,48772,0.580968140220949,0.25,1.0,0.9,0.95,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328802,48772,0.6886302354453511,0.25,0.5,0.55,0.53,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328803,48772,0.6886302354453511,0.25,1.0,0.6,0.53,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328804,48772,0.6886302354453511,0.25,0.0,0.45,0.53,0.14705882352941177,1.0,0.0,0.0,2014.2,GUSTAVO
328808,48772,0.662265324610437,0.25,0.0,0.7,0.73,0.20588235294117646,1.0,0.0,0.0,2014.2,GUSTAVO
328809,48772,0.662265324610437,0.25,0.5,0.8,0.73,0.20588235294117646,1.0,0.0,0.0,2014.2,GUSTAVO
328810,48772,0.662265324610437,0.25,1.0,0.6799999999999999,0.73,0.20588235294117646,1.0,0.0,0.0,2014.2,GUSTAVO
328811,48772,0.9164532228135713,0.25,0.5,0.73,0.6900000000000001,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328812,48772,0.9164532228135713,0.25,1.0,0.73,0.6900000000000001,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328813,48772,0.9164532228135713,0.25,0.0,0.0,0.6900000000000001,0.25,1.0,0.0,0.0,2014.2,GUSTAVO
328814,48772,0.2858020292984929,0.25,0.0,0.45,0.5,0.08823529411764706,1.0,0.0,0.0,2014.2,GUSTAVO
328815,48772,0.2858020292984929,0.25,0.5,0.39,0.5,0.08823529411764706,1.0,0.0,0.0,2014.2,GUSTAVO
328816,48772,0.2858020292984929,0.25,1.0,0.6599999999999999,0.5,0.08823529411764706,1.0,0.0,0.0,2014.2,GUSTAVO
540474,48771,0.4523665188983336,0.375,0.0,0.45,0.24,0.23529411764705882,0.0,0.0,0.0,2014.2,EDUARDO
540475,48771,0.4523665188983336,0.375,0.5,0.26,0.24,0.23529411764705882,0.0,0.0,0.0,2014.2,EDUARDO
540476,48771,0.4523665188983336,0.375,1.0,0.0,0.24,0.23529411764705882,0.0,0.0,0.0,2014.2,EDUARDO
540477,48771,0.3639731888392372,0.375,0.0,0.51,0.67,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540478,48771,0.3639731888392372,0.375,0.5,1.0,0.67,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540479,48771,0.3639731888392372,0.375,1.0,0.51,0.67,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540480,48771,0.26320950405695515,0.375,0.0,0.37,0.5,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540481,48771,0.26320950405695515,0.375,0.5,0.6,0.5,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540482,48771,0.26320950405695515,0.375,1.0,0.53,0.5,0.23529411764705882,1.0,0.0,0.0,2014.2,EDUARDO
540483,48771,0.6563953939549895,0.375,0.0,0.6,0.62,0.17647058823529413,1.0,0.0,0.0,2014.2,EDUARDO
540484,48771,0.6563953939549895,0.375,0.5,0.47000000000000003,0.62,0.17647058823529413,1.0,0.0,0.0,2014.2,EDUARDO
540485,48771,0.6563953939549895,0.375,1.0,0.8,0.62,0.17647058823529413,1.0,0.0,0.0,2014.2,EDUARDO
540486,48771,0.31340481257493,0.375,0.0,0.8699999999999999,0.74,0.11764705882352941,1.0,0.0,0.0,2014.2,EDUARDO
540487,48771,0.31340481257493,0.375,0.5,0.75,0.74,0.11764705882352941,1.0,0.0,0.0,2014.2,EDUARDO
540488,48771,0.31340481257493,0.375,1.0,0.05,0.74,0.11764705882352941,1.0,0.0,0.0,2014.2,EDUARDO
540495,48771,0.38542853855694603,0.375,0.0,0.6,0.6799999999999999,0.08823529411764706,1.0,0.0,0.0,2014.2,EDUARDO
540496,48771,0.38542853855694603,0.375,0.5,0.67,0.6799999999999999,0.08823529411764706,1.0,0.0,0.0,2014.2,EDUARDO
540497,48771,0.38542853855694603,0.375,1.0,0.78,0.6799999999999999,0.08823529411764706,1.0,0.0,0.0,2014.2,EDUARDO
540498,48771,0.753168419594253,0.375,0.0,0.8800000000000001,0.8099999999999999,0.08823529411764706,1.0,0.0,0.0,2014.2,EDUARDO
