,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
407208,106ed6a4ff1e89223c9cc6152aa38665,3,0.0,1.0,False,False,True,30,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407209,c5f73ce74e59865dd981384066c16bdd,3,0.0,0.5,False,False,True,34,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407210,c5f73ce74e59865dd981384066c16bdd,1,1.5,0.5,False,False,True,34,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407211,c5f73ce74e59865dd981384066c16bdd,2,0.0,0.5,False,False,True,34,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407221,dae2b22ef07dc0a68e16113092c811aa,1,3.5,3.2,False,False,True,24,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407222,dae2b22ef07dc0a68e16113092c811aa,2,1.5,3.2,False,False,True,24,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407223,dae2b22ef07dc0a68e16113092c811aa,3,4.5,3.2,False,False,True,24,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407233,4f334bcb2b0283c343aa005fd86d9c31,1,2.0,1.8,False,False,True,18,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407234,4f334bcb2b0283c343aa005fd86d9c31,2,3.5,1.8,False,False,True,18,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407235,4f334bcb2b0283c343aa005fd86d9c31,3,0.0,1.8,False,False,True,18,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407245,43d38b53da75babb48bd2f6d96f121a3,1,2.0,1.8,False,False,True,22,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407246,43d38b53da75babb48bd2f6d96f121a3,2,3.5,1.8,False,False,True,22,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407247,43d38b53da75babb48bd2f6d96f121a3,3,0.0,1.8,False,False,True,22,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407248,a249bbb83390c2f5c436014ba0cb6a12,2,7.5,4.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407249,a249bbb83390c2f5c436014ba0cb6a12,3,0.0,4.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407250,a249bbb83390c2f5c436014ba0cb6a12,1,5.5,4.3,False,False,True,38,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407251,a80ef3d24cc1f6d4affc491f3c309522,1,3.5,1.2,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407252,a80ef3d24cc1f6d4affc491f3c309522,2,0.0,1.2,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
407253,a80ef3d24cc1f6d4affc491f3c309522,3,0.0,1.2,False,False,True,52,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25581,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,MARJORY CRISTIANY DA COSTA ABREU,2018.2,True
417131,cfbb0a68e5edf620b5bb0def056ecd1c,1,0.0,0.0,False,False,True,62,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417132,cfbb0a68e5edf620b5bb0def056ecd1c,2,0.0,0.0,False,False,True,62,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417133,cfbb0a68e5edf620b5bb0def056ecd1c,3,0.0,0.0,False,False,True,62,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417137,f961101fa3e053d2464e72f80139a5b4,1,0.0,0.0,False,False,True,56,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417138,f961101fa3e053d2464e72f80139a5b4,2,0.0,0.0,False,False,True,56,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417139,f961101fa3e053d2464e72f80139a5b4,3,0.0,0.0,False,False,True,56,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417140,f1fc80b2a7fea3206d9684a911a4de3f,1,1.1,0.4,False,False,True,42,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417141,f1fc80b2a7fea3206d9684a911a4de3f,2,0.0,0.4,False,False,True,42,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417142,f1fc80b2a7fea3206d9684a911a4de3f,3,0.0,0.4,False,False,True,42,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417188,7ca4146947a0cbbc252833b4ed6afc72,1,0.0,0.0,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417189,7ca4146947a0cbbc252833b4ed6afc72,2,0.0,0.0,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417190,7ca4146947a0cbbc252833b4ed6afc72,3,0.0,0.0,False,False,True,32,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417191,493ee1909a83738fd1a6bf9507c8fbc0,1,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417192,493ee1909a83738fd1a6bf9507c8fbc0,2,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
417193,493ee1909a83738fd1a6bf9507c8fbc0,3,0.0,0.0,False,False,True,58,REPROVADO POR MÉDIA E POR FALTAS,GRADUAÇÃO,25584,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2018.2,True
