,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre,docente_nome
152545,7902,0.26035674827521604,0.14285714285714285,0.0,0.8,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152546,7902,0.26035674827521604,0.14285714285714285,0.5,0.8400000000000001,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152547,7902,0.26035674827521604,0.14285714285714285,1.0,0.6599999999999999,0.77,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152554,7902,0.5328444956786027,0.14285714285714285,0.0,0.45,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1,RAFAEL
152555,7902,0.5328444956786027,0.14285714285714285,0.5,0.76,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1,RAFAEL
152556,7902,0.5328444956786027,0.14285714285714285,1.0,0.18,0.64,0.20588235294117646,1.0,0.0,0.0,2018.1,RAFAEL
152560,7902,0.4295023139017725,0.14285714285714285,0.0,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152561,7902,0.4295023139017725,0.14285714285714285,0.5,0.9800000000000001,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152562,7902,0.4295023139017725,0.14285714285714285,1.0,0.93,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152563,7902,0.3215949600829797,0.14285714285714285,0.0,1.0,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152564,7902,0.3215949600829797,0.14285714285714285,0.5,0.65,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152565,7902,0.3215949600829797,0.14285714285714285,1.0,0.9,0.85,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152566,7902,0.7644859754088208,0.14285714285714285,0.0,1.0,0.72,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152567,7902,0.7644859754088208,0.14285714285714285,0.5,0.6799999999999999,0.72,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152568,7902,0.7644859754088208,0.14285714285714285,1.0,0.48,0.72,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152569,7902,0.8818862120008111,0.14285714285714285,0.0,1.0,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152570,7902,0.8818862120008111,0.14285714285714285,0.5,0.6799999999999999,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152571,7902,0.8818862120008111,0.14285714285714285,1.0,0.51,0.73,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152572,7902,0.266733877634137,0.14285714285714285,0.0,0.65,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1,RAFAEL
152573,7902,0.266733877634137,0.14285714285714285,0.5,0.62,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1,RAFAEL
152574,7902,0.266733877634137,0.14285714285714285,1.0,0.71,0.6599999999999999,0.10294117647058823,1.0,0.0,0.0,2018.1,RAFAEL
152575,7902,0.16252646145711652,0.14285714285714285,0.0,1.0,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1,RAFAEL
152576,7902,0.16252646145711652,0.14285714285714285,0.5,1.0,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1,RAFAEL
152577,7902,0.16252646145711652,0.14285714285714285,1.0,0.54,0.85,0.058823529411764705,1.0,0.0,0.0,2018.1,RAFAEL
152581,7902,0.48304675328261026,0.14285714285714285,0.0,0.78,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1,RAFAEL
152582,7902,0.48304675328261026,0.14285714285714285,0.5,0.41,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1,RAFAEL
152583,7902,0.48304675328261026,0.14285714285714285,1.0,0.49000000000000005,0.5599999999999999,0.25,1.0,0.0,0.0,2018.1,RAFAEL
152590,7902,0.6101434275538298,0.14285714285714285,0.0,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152591,7902,0.6101434275538298,0.14285714285714285,0.5,1.0,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152592,7902,0.6101434275538298,0.14285714285714285,1.0,0.9,0.97,0.2647058823529412,1.0,0.0,0.0,2018.1,RAFAEL
152593,7902,0.37284917988176086,0.14285714285714285,0.0,0.8400000000000001,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152594,7902,0.37284917988176086,0.14285714285714285,0.5,0.9800000000000001,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152595,7902,0.37284917988176086,0.14285714285714285,1.0,0.8099999999999999,0.8800000000000001,0.0,1.0,0.0,0.0,2018.1,RAFAEL
152596,7902,0.8573163906462073,0.14285714285714285,0.0,0.32999999999999996,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1,RAFAEL
152597,7902,0.8573163906462073,0.14285714285714285,0.5,0.25,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1,RAFAEL
152598,7902,0.8573163906462073,0.14285714285714285,1.0,0.32999999999999996,0.52,0.07352941176470588,1.0,0.0,0.0,2018.1,RAFAEL
152599,7902,0.3368474201492957,0.14285714285714285,0.0,0.6,0.5,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
152600,7902,0.3368474201492957,0.14285714285714285,0.5,0.42000000000000004,0.5,0.029411764705882353,1.0,0.0,0.0,2018.1,RAFAEL
