,id_turma,discente,unidade,nota,media_final,descricao,numero_total_faltas,disciplina,semestre
37,51700,60bf4ab847023939b542460eab2d4149,2,5.4,8.0,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
38,51700,60bf4ab847023939b542460eab2d4149,3,9.0,8.0,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
39,51700,7f8e8010f0a6b369f6a9a979b50801e1,1,6.8,7.6,APROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
40,51700,7f8e8010f0a6b369f6a9a979b50801e1,2,2.7,7.6,APROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
41,51700,7f8e8010f0a6b369f6a9a979b50801e1,3,6.5,7.6,APROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
42,51700,feb3ea8326463d7c47bbb635df602bce,1,9.3,9.4,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
43,51700,feb3ea8326463d7c47bbb635df602bce,2,8.9,9.4,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
44,51700,feb3ea8326463d7c47bbb635df602bce,3,10.0,9.4,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
45,51700,d32c036eda2ee7c228a30b08ef1be118,2,6.5,7.7,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
46,51700,d32c036eda2ee7c228a30b08ef1be118,3,7.8,7.7,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
47,51700,d32c036eda2ee7c228a30b08ef1be118,1,8.7,7.7,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
48,51700,8b9ffdb2dd48896cc45e831546ec2279,1,7.3,8.5,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
49,51700,8b9ffdb2dd48896cc45e831546ec2279,2,8.9,8.5,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
50,51700,8b9ffdb2dd48896cc45e831546ec2279,3,9.4,8.5,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
51,51700,a70215ff0d8e2621f081292f632e44b3,1,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,38,PENSAMENTO COMPUTACIONAL,2020.1
52,51700,a70215ff0d8e2621f081292f632e44b3,2,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,38,PENSAMENTO COMPUTACIONAL,2020.1
