,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,id_curso,codigo,disciplina,docente,semestre,excluido
205984,c23e1102dbcae83c2a965a48a1263dd9,1,5.0,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205985,c23e1102dbcae83c2a965a48a1263dd9,2,7.5,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205986,c23e1102dbcae83c2a965a48a1263dd9,3,4.2,5.6,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205987,fee5b24b2146a287878ec02435c4aa4c,3,5.7,5.1,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205988,fee5b24b2146a287878ec02435c4aa4c,2,4.5,5.1,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205989,fee5b24b2146a287878ec02435c4aa4c,1,5.0,5.1,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205990,b94ea5ff86c1504fa246ff7bc04bbd99,1,5.7,6.7,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205991,b94ea5ff86c1504fa246ff7bc04bbd99,2,8.3,6.7,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
205992,b94ea5ff86c1504fa246ff7bc04bbd99,3,6.2,6.7,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38285,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE MAURICIO CUNHA CAMPOS,2014.1,False
278934,7dd1c07f788951271820d1cb7b1b5bf7,1,0.0,0.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278935,7dd1c07f788951271820d1cb7b1b5bf7,2,0.0,0.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278936,7dd1c07f788951271820d1cb7b1b5bf7,3,0.0,0.0,False,False,False,16,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278946,ba9383174869ca39b0626c17eac4630f,1,3.5,6.8,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278947,ba9383174869ca39b0626c17eac4630f,2,10.0,6.8,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278948,ba9383174869ca39b0626c17eac4630f,3,7.0,6.8,True,False,False,10,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278949,5a5d94d46b85d1bec85b6a0b0a0b826b,1,5.5,7.5,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278950,5a5d94d46b85d1bec85b6a0b0a0b826b,2,8.0,7.5,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278951,5a5d94d46b85d1bec85b6a0b0a0b826b,3,9.0,7.5,True,False,False,10,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278955,dcb8f294bee8769bdfec88486911362f,1,3.1,2.2,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278956,dcb8f294bee8769bdfec88486911362f,2,2.5,2.2,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278957,dcb8f294bee8769bdfec88486911362f,3,1.0,2.2,False,False,False,10,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278958,f2e563b162d47b0f3e651d0444d7908a,3,2.5,3.8,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278959,f2e563b162d47b0f3e651d0444d7908a,1,4.8,3.8,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278960,f2e563b162d47b0f3e651d0444d7908a,2,4.0,3.8,False,False,False,18,REPROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278961,08f0ed62082e3a3455c675630a546cfe,2,7.0,7.3,True,False,False,16,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278962,08f0ed62082e3a3455c675630a546cfe,3,7.0,7.3,True,False,False,16,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278963,08f0ed62082e3a3455c675630a546cfe,1,8.0,7.3,True,False,False,16,APROVADO,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278964,a70e6e000686d82ad1d1a29ce75fab9f,1,4.6,6.0,True,False,False,12,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
278965,a70e6e000686d82ad1d1a29ce75fab9f,2,9.0,6.0,True,False,False,12,APROVADO POR NOTA,GRADUAÇÃO,38286,49184,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,JOAO CARLOS XAVIER JUNIOR,2014.1,False
