,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,codigo,disciplina,docente,semestre,reprovadomatematicamente
152574,ee4a24980ff7dd1a7b44db77a1d52a57,3,7.1,6.6,True,False,False,7,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152575,5b3e0969134e437750d7cddef014046b,1,10.0,8.5,True,False,False,4,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152576,5b3e0969134e437750d7cddef014046b,2,10.0,8.5,True,False,False,4,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152577,5b3e0969134e437750d7cddef014046b,3,5.4,8.5,True,False,False,4,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152581,9d6b67bc2681e57fc0ba7892278bf897,1,7.8,5.6,True,False,False,17,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152582,9d6b67bc2681e57fc0ba7892278bf897,2,4.1,5.6,True,False,False,17,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152583,9d6b67bc2681e57fc0ba7892278bf897,3,4.9,5.6,True,False,False,17,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152590,8aae5f71a0fbc0a757848d393fa8659f,1,10.0,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152591,8aae5f71a0fbc0a757848d393fa8659f,2,10.0,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152592,8aae5f71a0fbc0a757848d393fa8659f,3,9.0,9.7,True,False,False,18,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152593,57462248567a3d93abc3e58ab4f00c83,1,8.4,8.8,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152594,57462248567a3d93abc3e58ab4f00c83,2,9.8,8.8,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152595,57462248567a3d93abc3e58ab4f00c83,3,8.1,8.8,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152596,35f2d630f30d8d9eec0ad32929131ba7,1,3.3,5.2,True,False,False,5,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152597,35f2d630f30d8d9eec0ad32929131ba7,2,2.5,5.2,True,False,False,5,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152598,35f2d630f30d8d9eec0ad32929131ba7,3,3.3,5.2,True,False,False,5,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152599,bdee69a49c7055609507635602ebf102,1,6.0,5.0,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152600,bdee69a49c7055609507635602ebf102,2,4.2,5.0,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152601,bdee69a49c7055609507635602ebf102,3,4.8,5.0,True,False,False,2,APROVADO POR NOTA,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152605,3842eb195bf64ea2c323659ee57d76f9,1,4.5,7.2,True,False,False,10,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152606,3842eb195bf64ea2c323659ee57d76f9,2,10.0,7.2,True,False,False,10,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152607,3842eb195bf64ea2c323659ee57d76f9,3,7.0,7.2,True,False,False,10,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152611,c30634575f9ad5d5cd4714f68571dfac,1,10.0,8.6,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152612,c30634575f9ad5d5cd4714f68571dfac,2,9.8,8.6,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152613,c30634575f9ad5d5cd4714f68571dfac,3,6.0,8.6,True,False,False,0,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152614,9a57b0ef65e5a5a2b4e7c64007920bc4,1,10.0,9.7,True,False,False,4,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
152615,9a57b0ef65e5a5a2b4e7c64007920bc4,2,10.0,9.7,True,False,False,4,APROVADO,GRADUAÇÃO,7902,DIM0118.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,RAFAEL BESERRA GOMES,2018.1,False
